OverviewPage,Team,N PlayerInTeam,Player,Role,Flag
2014 Season World Championship,Oh My God,1,Gogoing,Top,China
2014 Season World Championship,Oh My God,2,Loveling,Jungle,China
2014 Season World Championship,Oh My God,3,cool,Mid,China
2014 Season World Championship,Oh My God,4,san (Guo Jun-Liang),Bot,China
2014 Season World Championship,Oh My God,5,DaDa777,Support,China
2014 Season World Championship,Oh My God,6,Cloud (Hu Zhen-Wei),Support,China
2014 Season World Championship,Samsung Blue,1,Acorn,Top,South Korea
2014 Season World Championship,Samsung Blue,2,Spirit,Jungle,South Korea
2014 Season World Championship,Samsung Blue,3,Dade,Mid,South Korea
2014 Season World Championship,Samsung Blue,4,Deft,Bot,South Korea
2014 Season World Championship,Samsung Blue,5,Heart,Support,South Korea
2014 Season World Championship,Samsung White,1,Looper,Top,South Korea
2014 Season World Championship,Samsung White,2,Dandy,Jungle,South Korea
2014 Season World Championship,Samsung White,3,PawN,Mid,South Korea
2014 Season World Championship,Samsung White,4,imp,Bot,South Korea
2014 Season World Championship,Samsung White,5,Mata,Support,South Korea
2014 Season World Championship,SK Gaming,1,fredy122,Top,United Kingdom
2014 Season World Championship,SK Gaming,2,Gilius,Jungle,Germany
2014 Season World Championship,SK Gaming,3,Svenskeren,Jungle,Denmark
2014 Season World Championship,SK Gaming,4,Jesiz,Mid,Denmark
2014 Season World Championship,SK Gaming,5,CandyPanda,Bot,Germany
2014 Season World Championship,SK Gaming,6,nRated,Support,Germany
2014 Season World Championship,Star Horn Royal Club,1,Cola (Jiang Nan),Top,China
2014 Season World Championship,Star Horn Royal Club,2,inSec,Jungle,South Korea
2014 Season World Championship,Star Horn Royal Club,3,corn (Lei Wen),Mid,China
2014 Season World Championship,Star Horn Royal Club,4,Uzi (Jian Zi-Hao),Bot,China
2014 Season World Championship,Star Horn Royal Club,5,Zero (Yoon Kyung-sup),Support,South Korea
2014 Season World Championship,Star Horn Royal Club,6,VicaL,Coach,South Korea
2014 Season World Championship,Taipei Assassins,1,Achie,Top,Taiwan
2014 Season World Championship,Taipei Assassins,2,Winds,Jungle,Taiwan
2014 Season World Championship,Taipei Assassins,3,Morning,Mid,Taiwan
2014 Season World Championship,Taipei Assassins,4,BeBe (Chang Bo-Wei),Bot,Taiwan
2014 Season World Championship,Taipei Assassins,5,Jay (Li Chieh),Support,Taiwan
2014 Season World Championship,TSM,1,Dyrus,Top,United States
2014 Season World Championship,TSM,2,Amazing (Maurice Stückenschneider),Jungle,Germany
2014 Season World Championship,TSM,3,Bjergsen,Mid,Denmark
2014 Season World Championship,TSM,4,WildTurtle,Bot,Canada
2014 Season World Championship,TSM,5,Lustboy,Support,South Korea
2015 Season World Championship,ahq eSports Club,1,Ziv (Chen Yi),Top,Taiwan
2015 Season World Championship,ahq eSports Club,2,Mountain (Xue Zhao-Hong),Jungle,Taiwan
2015 Season World Championship,ahq eSports Club,3,Westdoor,Mid,Taiwan
2015 Season World Championship,ahq eSports Club,4,AN,Bot,Taiwan
2015 Season World Championship,ahq eSports Club,5,Albis,Support,Taiwan
2015 Season World Championship,ahq eSports Club,6,Backstairs,Coach,Taiwan
2015 Season World Championship,Bangkok Titans,1,WarL0cK,Top,Thailand
2015 Season World Championship,Bangkok Titans,2,007x,Jungle,Thailand
2015 Season World Championship,Bangkok Titans,3,G4,Mid,Thailand
2015 Season World Championship,Bangkok Titans,4,Lloyd,Bot,Thailand
2015 Season World Championship,Bangkok Titans,5,Moss (Sorawat Boonphrom),Support,Thailand
2015 Season World Championship,Bangkok Titans,6,Cabbage,Coach,Thailand
2015 Season World Championship,Cloud9,1,Balls,Top,United States
2015 Season World Championship,Cloud9,2,Hai,Jungle,United States
2015 Season World Championship,Cloud9,3,Incarnati0n,Mid,Denmark
2015 Season World Championship,Cloud9,4,Sneaky,Bot,United States
2015 Season World Championship,Cloud9,5,LemonNation,Support,United States
2015 Season World Championship,Cloud9,6,Bubbadub,Coach,United States
2015 Season World Championship,Counter Logic Gaming,1,ZionSpartan,Top,Canada
2015 Season World Championship,Counter Logic Gaming,2,Xmithie,Jungle,Philippines
2015 Season World Championship,Counter Logic Gaming,3,Pobelter,Mid,United States
2015 Season World Championship,Counter Logic Gaming,4,Doublelift,Bot,United States
2015 Season World Championship,Counter Logic Gaming,5,aphromoo,Support,United States
2015 Season World Championship,Counter Logic Gaming,6,Zikzlol,Coach,United States
2015 Season World Championship,EDward Gaming,1,AmazingJ,Top,Hong Kong
2015 Season World Championship,EDward Gaming,2,Koro1,Top,China
2015 Season World Championship,EDward Gaming,3,Clearlove,Jungle,China
2015 Season World Championship,EDward Gaming,4,PawN,Mid,South Korea
2015 Season World Championship,EDward Gaming,5,Deft,Bot,South Korea
2015 Season World Championship,EDward Gaming,6,Meiko,Support,China
2015 Season World Championship,EDward Gaming,7,Aaron (Ji Xing),Coach,China
2015 Season World Championship,Flash Wolves,1,Steak,Top,Taiwan
2015 Season World Championship,Flash Wolves,2,Karsa,Jungle,Taiwan
2015 Season World Championship,Flash Wolves,3,Maple (Huang Yi-Tang),Mid,Taiwan
2015 Season World Championship,Flash Wolves,4,Kkramer,Bot,South Korea
2015 Season World Championship,Flash Wolves,5,NL (Hsiung Wen-An),Bot,Taiwan
2015 Season World Championship,Flash Wolves,6,SwordArt,Support,Taiwan
2015 Season World Championship,Flash Wolves,7,Fluidwind,Coach,Taiwan
2015 Season World Championship,Fnatic,1,Huni,Top,South Korea
2015 Season World Championship,Fnatic,2,Reignover,Jungle,South Korea
2015 Season World Championship,Fnatic,3,Febiven,Mid,Netherlands
2015 Season World Championship,Fnatic,4,Rekkles,Bot,Sweden
2015 Season World Championship,Fnatic,5,YellOwStaR,Support,France
2015 Season World Championship,Fnatic,6,Deilor,Coach,Spain
2015 Season World Championship,H2k-Gaming,1,Odoamne,Top,Romania
2015 Season World Championship,H2k-Gaming,2,loulex,Jungle,France
2015 Season World Championship,H2k-Gaming,3,Ryu,Mid,South Korea
2015 Season World Championship,H2k-Gaming,4,Hjarnan,Bot,Sweden
2015 Season World Championship,H2k-Gaming,5,kaSing,Support,United Kingdom
2015 Season World Championship,H2k-Gaming,6,pr0lly,Coach,United States
2015 Season World Championship,Invictus Gaming,1,Zz1tai,Top,China
2015 Season World Championship,Invictus Gaming,2,KAKAO,Jungle,South Korea
2015 Season World Championship,Invictus Gaming,3,Rookie,Mid,South Korea
2015 Season World Championship,Invictus Gaming,4,Kid,Bot,China
2015 Season World Championship,Invictus Gaming,5,Time (Tang Jing-Tai),Bot,China
2015 Season World Championship,Invictus Gaming,6,Kitties,Support,China
2015 Season World Championship,Invictus Gaming,7,Mafa,Coach,South Korea
2015 Season World Championship,KOO Tigers,1,Smeb,Top,South Korea
2015 Season World Championship,KOO Tigers,2,Hojin,Jungle,South Korea
2015 Season World Championship,KOO Tigers,3,Kuro,Mid,South Korea
2015 Season World Championship,KOO Tigers,4,PraY,Bot,South Korea
2015 Season World Championship,KOO Tigers,5,GorillA,Support,South Korea
2015 Season World Championship,KOO Tigers,6,NoFe,Coach,South Korea
2015 Season World Championship,KT Rolster,1,Ssumday,Top,South Korea
2015 Season World Championship,KT Rolster,2,Score,Jungle,South Korea
2015 Season World Championship,KT Rolster,3,Nagne,Mid,South Korea
2015 Season World Championship,KT Rolster,4,Arrow,Bot,South Korea
2015 Season World Championship,KT Rolster,5,Piccaboo,Support,South Korea
2015 Season World Championship,KT Rolster,6,Oh Chang-jong,Coach,South Korea
2015 Season World Championship,LGD Gaming,1,Acorn,Top,South Korea
2015 Season World Championship,LGD Gaming,2,Flame,Top,South Korea
2015 Season World Championship,LGD Gaming,3,TBQ,Jungle,China
2015 Season World Championship,LGD Gaming,4,GODV (Wei Zhen),Mid,China
2015 Season World Championship,LGD Gaming,5,imp,Bot,South Korea
2015 Season World Championship,LGD Gaming,6,Pyl (Chen Bo),Support,China
2015 Season World Championship,LGD Gaming,7,FireFox,Coach,Taiwan
2015 Season World Championship,Origen,1,Soaz,Top,France
2015 Season World Championship,Origen,2,Amazing (Maurice Stückenschneider),Jungle,Germany
2015 Season World Championship,Origen,3,xPeke,Mid,Spain
2015 Season World Championship,Origen,4,Niels,Bot,Denmark
2015 Season World Championship,Origen,5,Mithy,Support,Spain
2015 Season World Championship,Origen,6,Hermit,Coach,United States
2015 Season World Championship,paiN Gaming,1,Mylon,Top,Brazil
2015 Season World Championship,paiN Gaming,2,SirT,Jungle,Brazil
2015 Season World Championship,paiN Gaming,3,Kami (Gabriel Bohm Santos),Mid,Brazil
2015 Season World Championship,paiN Gaming,4,brTT,Bot,Brazil
2015 Season World Championship,paiN Gaming,5,Dioud,Support,France
2015 Season World Championship,paiN Gaming,6,MiT,Coach,Brazil
2015 Season World Championship,SK Telecom T1,1,MaRin,Top,South Korea
2015 Season World Championship,SK Telecom T1,2,Bengi,Jungle,South Korea
2015 Season World Championship,SK Telecom T1,3,Faker,Mid,South Korea
2015 Season World Championship,SK Telecom T1,4,Easyhoon,Mid,South Korea
2015 Season World Championship,SK Telecom T1,5,Bang,Bot,South Korea
2015 Season World Championship,SK Telecom T1,6,Wolf (Lee Jae-wan),Support,South Korea
2015 Season World Championship,SK Telecom T1,7,kkOma,Coach,South Korea
2015 Season World Championship,TSM,1,Dyrus,Top,United States
2015 Season World Championship,TSM,2,Santorin,Jungle,Denmark
2015 Season World Championship,TSM,3,Bjergsen,Mid,Denmark
2015 Season World Championship,TSM,4,WildTurtle,Bot,Canada
2015 Season World Championship,TSM,5,Lustboy,Support,South Korea
2015 Season World Championship,TSM,6,Locodoco,Coach,South Korea
2016 Season World Championship,ahq eSports Club,1,Ziv (Chen Yi),Top,Taiwan
2016 Season World Championship,ahq eSports Club,2,Mountain (Xue Zhao-Hong),Jungle,Taiwan
2016 Season World Championship,ahq eSports Club,3,Westdoor,Mid,Taiwan
2016 Season World Championship,ahq eSports Club,4,Chawy,Mid,Singapore
2016 Season World Championship,ahq eSports Club,5,AN,Bot,Taiwan
2016 Season World Championship,ahq eSports Club,6,Albis,Support,Taiwan
2016 Season World Championship,ahq eSports Club,7,GreenTea,Coach,Taiwan
2016 Season World Championship,Albus NoX Luna,1,Smurf (Dmitri Ivanov),Top,Russia
2016 Season World Championship,Albus NoX Luna,2,PvPStejos,Jungle,Ukraine
2016 Season World Championship,Albus NoX Luna,3,Kira,Mid,Ukraine
2016 Season World Championship,Albus NoX Luna,4,aMiracle,Bot,Ukraine
2016 Season World Championship,Albus NoX Luna,5,Likkrit,Support,Russia
2016 Season World Championship,Albus NoX Luna,6,Ansva,Coach,Russia
2016 Season World Championship,Cloud9,1,Impact,Top,South Korea
2016 Season World Championship,Cloud9,2,Meteos,Jungle,United States
2016 Season World Championship,Cloud9,3,Jensen,Mid,Denmark
2016 Season World Championship,Cloud9,4,Sneaky,Bot,United States
2016 Season World Championship,Cloud9,5,Smoothie,Support,Canada
2016 Season World Championship,Cloud9,6,Reapered,Coach,South Korea
2016 Season World Championship,Counter Logic Gaming,1,Darshan,Top,Canada
2016 Season World Championship,Counter Logic Gaming,2,Xmithie,Jungle,Philippines
2016 Season World Championship,Counter Logic Gaming,3,Huhi,Mid,South Korea
2016 Season World Championship,Counter Logic Gaming,4,Stixxay,Bot,United States
2016 Season World Championship,Counter Logic Gaming,5,aphromoo,Support,United States
2016 Season World Championship,Counter Logic Gaming,6,Zikzlol,Coach,United States
2016 Season World Championship,EDward Gaming,1,Mouse,Top,China
2016 Season World Championship,EDward Gaming,2,Koro1,Top,China
2016 Season World Championship,EDward Gaming,3,Clearlove,Jungle,China
2016 Season World Championship,EDward Gaming,4,PawN,Mid,South Korea
2016 Season World Championship,EDward Gaming,5,Scout,Mid,South Korea
2016 Season World Championship,EDward Gaming,6,Deft,Bot,South Korea
2016 Season World Championship,EDward Gaming,7,Meiko,Support,China
2016 Season World Championship,EDward Gaming,8,RapidStar,Coach,South Korea
2016 Season World Championship,Flash Wolves,1,MMD,Top,Taiwan
2016 Season World Championship,Flash Wolves,2,Karsa,Jungle,Taiwan
2016 Season World Championship,Flash Wolves,3,Maple (Huang Yi-Tang),Mid,Taiwan
2016 Season World Championship,Flash Wolves,4,NL (Hsiung Wen-An),Bot,Taiwan
2016 Season World Championship,Flash Wolves,5,SwordArt,Support,Taiwan
2016 Season World Championship,Flash Wolves,6,Fluidwind,Coach,Taiwan
2016 Season World Championship,G2 Esports,1,Expect,Top,South Korea
2016 Season World Championship,G2 Esports,2,Trick,Jungle,South Korea
2016 Season World Championship,G2 Esports,3,Perkz,Mid,Croatia
2016 Season World Championship,G2 Esports,4,Zven,Bot,Denmark
2016 Season World Championship,G2 Esports,5,mithy,Support,Spain
2016 Season World Championship,G2 Esports,6,YoungBuck,Coach,Netherlands
2016 Season World Championship,H2k-Gaming,1,Odoamne,Top,Romania
2016 Season World Championship,H2k-Gaming,2,Jankos,Jungle,Poland
2016 Season World Championship,H2k-Gaming,3,Ryu,Mid,South Korea
2016 Season World Championship,H2k-Gaming,4,FORG1VEN,Bot,Greece
2016 Season World Championship,H2k-Gaming,5,Vander,Support,Poland
2016 Season World Championship,H2k-Gaming,6,pr0lly,Coach,United States
2016 Season World Championship,I May,1,AmazingJ,Top,Hong Kong
2016 Season World Championship,I May,2,Avoidless,Jungle,Hong Kong
2016 Season World Championship,I May,3,Athena,"Mid,Support",South Korea
2016 Season World Championship,I May,4,BaeMe,Mid,South Korea
2016 Season World Championship,I May,5,Jinjiao,Bot,China
2016 Season World Championship,I May,6,Road (Yun Han-gil),Support,South Korea
2016 Season World Championship,I May,7,Kezman,Coach,South Korea
2016 Season World Championship,INTZ,1,Yang (Felipe Zhao),Top,Brazil
2016 Season World Championship,INTZ,2,Revolta,Jungle,Brazil
2016 Season World Championship,INTZ,3,tockers,Mid,Brazil
2016 Season World Championship,INTZ,4,micaO,Bot,Brazil
2016 Season World Championship,INTZ,5,Jockster,Support,Brazil
2016 Season World Championship,INTZ,6,Abaxial,Coach,United States
2016 Season World Championship,ROX Tigers,1,Smeb,Top,South Korea
2016 Season World Championship,ROX Tigers,2,Peanut,Jungle,South Korea
2016 Season World Championship,ROX Tigers,3,Kuro,Mid,South Korea
2016 Season World Championship,ROX Tigers,4,PraY,Bot,South Korea
2016 Season World Championship,ROX Tigers,5,GorillA,Support,South Korea
2016 Season World Championship,ROX Tigers,6,NoFe,Coach,South Korea
2016 Season World Championship,Royal Never Give Up,1,Looper,Top,South Korea
2016 Season World Championship,Royal Never Give Up,2,Mlxg,Jungle,China
2016 Season World Championship,Royal Never Give Up,3,Xiaohu,Mid,China
2016 Season World Championship,Royal Never Give Up,4,Uzi (Jian Zi-Hao),Bot,China
2016 Season World Championship,Royal Never Give Up,5,Mata,Support,South Korea
2016 Season World Championship,Royal Never Give Up,6,Fly (Kim Sang-cheol),Coach,South Korea
2016 Season World Championship,Samsung Galaxy,1,CuVee,Top,South Korea
2016 Season World Championship,Samsung Galaxy,2,Ambition,Jungle,South Korea
2016 Season World Championship,Samsung Galaxy,3,Crown,Mid,South Korea
2016 Season World Championship,Samsung Galaxy,4,Ruler,Bot,South Korea
2016 Season World Championship,Samsung Galaxy,5,Wraith,Support,South Korea
2016 Season World Championship,Samsung Galaxy,6,CoreJJ,Support,South Korea
2016 Season World Championship,Samsung Galaxy,7,Edgar,Coach,South Korea
2016 Season World Championship,SK Telecom T1,1,Duke (Lee Ho-seong),Top,South Korea
2016 Season World Championship,SK Telecom T1,2,Bengi,Jungle,South Korea
2016 Season World Championship,SK Telecom T1,3,Blank (Kang Sun-gu),Jungle,South Korea
2016 Season World Championship,SK Telecom T1,4,Faker,Mid,South Korea
2016 Season World Championship,SK Telecom T1,5,Bang,Bot,South Korea
2016 Season World Championship,SK Telecom T1,6,Wolf (Lee Jae-wan),Support,South Korea
2016 Season World Championship,SK Telecom T1,7,kkOma,Coach,South Korea
2016 Season World Championship,Splyce,1,Wunder,Top,Denmark
2016 Season World Championship,Splyce,2,Trashy,Jungle,Denmark
2016 Season World Championship,Splyce,3,Sencux,Mid,Denmark
2016 Season World Championship,Splyce,4,Kobbe,Bot,Denmark
2016 Season World Championship,Splyce,5,Mikyx,Support,Slovenia
2016 Season World Championship,Splyce,6,YamatoCannon,Coach,Sweden
2016 Season World Championship,TSM,1,Hauntzer,Top,United States
2016 Season World Championship,TSM,2,Svenskeren,Jungle,Denmark
2016 Season World Championship,TSM,3,Bjergsen,Mid,Denmark
2016 Season World Championship,TSM,4,Doublelift,Bot,United States
2016 Season World Championship,TSM,5,Biofrost,Support,China
2016 Season World Championship,TSM,6,Parth,Coach,United States
2017 Season World Championship/Main Event,ahq eSports Club,1,Ziv (Chen Yi),Top,Taiwan
2017 Season World Championship/Main Event,ahq eSports Club,2,Mountain (Xue Zhao-Hong),Jungle,Taiwan
2017 Season World Championship/Main Event,ahq eSports Club,3,Westdoor,Mid,Taiwan
2017 Season World Championship/Main Event,ahq eSports Club,4,Chawy,Mid,Singapore
2017 Season World Championship/Main Event,ahq eSports Club,5,AN,Bot,Taiwan
2017 Season World Championship/Main Event,ahq eSports Club,6,Albis,Support,Taiwan
2017 Season World Championship/Main Event,ahq eSports Club,7,GreenTea,Coach,Taiwan
2017 Season World Championship/Main Event,Cloud9,1,Impact,Top,South Korea
2017 Season World Championship/Main Event,Cloud9,2,Contractz,Jungle,United States
2017 Season World Championship/Main Event,Cloud9,3,Jensen,Mid,Denmark
2017 Season World Championship/Main Event,Cloud9,4,Sneaky,Bot,United States
2017 Season World Championship/Main Event,Cloud9,5,Smoothie,Support,Canada
2017 Season World Championship/Main Event,Cloud9,6,Reapered,Coach,South Korea
2017 Season World Championship/Main Event,EDward Gaming,1,Mouse,Top,China
2017 Season World Championship/Main Event,EDward Gaming,2,Clearlove7,Jungle,China
2017 Season World Championship/Main Event,EDward Gaming,3,Scout,Mid,South Korea
2017 Season World Championship/Main Event,EDward Gaming,4,iBoy,Bot,China
2017 Season World Championship/Main Event,EDward Gaming,5,Meiko,Support,China
2017 Season World Championship/Main Event,EDward Gaming,6,NoFe,Coach,South Korea
2017 Season World Championship/Main Event,Fenerbahçe Esports,1,Thaldrin,Top,Turkey
2017 Season World Championship/Main Event,Fenerbahçe Esports,2,Crash,Jungle,South Korea
2017 Season World Championship/Main Event,Fenerbahçe Esports,3,Frozen (Kim Tae-il),Mid,South Korea
2017 Season World Championship/Main Event,Fenerbahçe Esports,4,Padden,Bot,Turkey
2017 Season World Championship/Main Event,Fenerbahçe Esports,5,Japone,Support,Turkey
2017 Season World Championship/Main Event,Fenerbahçe Esports,6,Pades,Coach,Turkey
2017 Season World Championship/Main Event,Flash Wolves,1,MMD,Top,Taiwan
2017 Season World Championship/Main Event,Flash Wolves,2,Karsa,Jungle,Taiwan
2017 Season World Championship/Main Event,Flash Wolves,3,Maple (Huang Yi-Tang),Mid,Taiwan
2017 Season World Championship/Main Event,Flash Wolves,4,Betty,Bot,Taiwan
2017 Season World Championship/Main Event,Flash Wolves,5,SwordArT,Support,Taiwan
2017 Season World Championship/Main Event,Flash Wolves,6,Steak,Coach,Taiwan
2017 Season World Championship/Main Event,Fnatic,1,sOAZ,Top,France
2017 Season World Championship/Main Event,Fnatic,2,Broxah,Jungle,Denmark
2017 Season World Championship/Main Event,Fnatic,3,Caps,Mid,Denmark
2017 Season World Championship/Main Event,Fnatic,4,Rekkles,Bot,Sweden
2017 Season World Championship/Main Event,Fnatic,5,Jesiz,Support,Denmark
2017 Season World Championship/Main Event,Fnatic,6,Dylan Falco,Coach,Canada
2017 Season World Championship/Main Event,G2 Esports,1,Expect,Top,South Korea
2017 Season World Championship/Main Event,G2 Esports,2,Trick,Jungle,South Korea
2017 Season World Championship/Main Event,G2 Esports,3,Perkz,Mid,Croatia
2017 Season World Championship/Main Event,G2 Esports,4,Zven,Bot,Denmark
2017 Season World Championship/Main Event,G2 Esports,5,mithy,Support,Spain
2017 Season World Championship/Main Event,G2 Esports,6,YoungBuck,Coach,Netherlands
2017 Season World Championship/Main Event,GIGABYTE Marines,1,Archie (Trần Minh Nhựt),Top,Vietnam
2017 Season World Championship/Main Event,GIGABYTE Marines,2,Levi,Jungle,Vietnam
2017 Season World Championship/Main Event,GIGABYTE Marines,3,Optimus,Mid,Vietnam
2017 Season World Championship/Main Event,GIGABYTE Marines,4,Noway (Nguyễn Vũ Long),Bot,Vietnam
2017 Season World Championship/Main Event,GIGABYTE Marines,5,Nevan,Support,Vietnam
2017 Season World Championship/Main Event,GIGABYTE Marines,6,Sya,Support,Vietnam
2017 Season World Championship/Main Event,GIGABYTE Marines,7,Tinikun,Coach,Vietnam
2017 Season World Championship/Main Event,Immortals,1,Flame,Top,South Korea
2017 Season World Championship/Main Event,Immortals,2,Xmithie,Jungle,Philippines
2017 Season World Championship/Main Event,Immortals,3,Pobelter,Mid,United States
2017 Season World Championship/Main Event,Immortals,4,Cody Sun,Bot,China
2017 Season World Championship/Main Event,Immortals,5,Olleh,Support,South Korea
2017 Season World Championship/Main Event,Immortals,6,SSONG,Coach,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,1,Khan,Top,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,2,Rascal,Top,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,3,Cuzz,Jungle,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,4,Bdd,Mid,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,5,PraY,Bot,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,6,GorillA,Support,South Korea
2017 Season World Championship/Main Event,Longzhu Gaming,7,Kim Jeong-soo,Coach,South Korea
2017 Season World Championship/Main Event,Misfits Gaming,1,Alphari,Top,United Kingdom
2017 Season World Championship/Main Event,Misfits Gaming,2,Maxlore,Jungle,United Kingdom
2017 Season World Championship/Main Event,Misfits Gaming,3,PowerOfEvil,Mid,Germany
2017 Season World Championship/Main Event,Misfits Gaming,4,Hans Sama,Bot,France
2017 Season World Championship/Main Event,Misfits Gaming,5,IgNar,Support,South Korea
2017 Season World Championship/Main Event,Misfits Gaming,6,Daku (Hussain Moosvi),Coach,United Arab Emirates
2017 Season World Championship/Main Event,Royal Never Give Up,1,Letme,Top,China
2017 Season World Championship/Main Event,Royal Never Give Up,2,Mlxg,Jungle,China
2017 Season World Championship/Main Event,Royal Never Give Up,3,Xiaohu,Mid,China
2017 Season World Championship/Main Event,Royal Never Give Up,4,Uzi (Jian Zi-Hao),Bot,China
2017 Season World Championship/Main Event,Royal Never Give Up,5,Ming (Shi Sen-Ming),Support,China
2017 Season World Championship/Main Event,Royal Never Give Up,6,FireFox,Coach,Taiwan
2017 Season World Championship/Main Event,Samsung Galaxy,1,CuVee,Top,South Korea
2017 Season World Championship/Main Event,Samsung Galaxy,2,Ambition,Jungle,South Korea
2017 Season World Championship/Main Event,Samsung Galaxy,3,Haru,Jungle,South Korea
2017 Season World Championship/Main Event,Samsung Galaxy,4,Crown,Mid,South Korea
2017 Season World Championship/Main Event,Samsung Galaxy,5,Ruler,Bot,South Korea
2017 Season World Championship/Main Event,Samsung Galaxy,6,CoreJJ,Support,South Korea
2017 Season World Championship/Main Event,Samsung Galaxy,7,Edgar,Coach,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,1,Huni,Top,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,2,Peanut,Jungle,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,3,Blank (Kang Sun-gu),Jungle,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,4,Faker,Mid,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,5,Bang,Bot,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,6,Wolf (Lee Jae-wan),Support,South Korea
2017 Season World Championship/Main Event,SK Telecom T1,7,kkOma,Coach,South Korea
2017 Season World Championship/Main Event,Team WE,1,957,Top,China
2017 Season World Championship/Main Event,Team WE,2,Condi,Jungle,China
2017 Season World Championship/Main Event,Team WE,3,xiye,Mid,China
2017 Season World Championship/Main Event,Team WE,4,Mystic,Bot,South Korea
2017 Season World Championship/Main Event,Team WE,5,Ben,Support,South Korea
2017 Season World Championship/Main Event,Team WE,6,Homme,Coach,South Korea
2017 Season World Championship/Main Event,TSM,1,Hauntzer,Top,United States
2017 Season World Championship/Main Event,TSM,2,Svenskeren,Jungle,Denmark
2017 Season World Championship/Main Event,TSM,3,Bjergsen,Mid,Denmark
2017 Season World Championship/Main Event,TSM,4,Doublelift,Bot,United States
2017 Season World Championship/Main Event,TSM,5,Biofrost,Support,China
2017 Season World Championship/Main Event,TSM,6,Parth,Coach,United States
2017 Season World Championship/Play-In,Cloud9,1,Impact,Top,South Korea
