OverviewPage,Team1,Team2,WinTeam,LossTeam,DateTime UTC,GameId,MatchId,N GameInMatch,Gamename,Team1Score,Team2Score,Winner,Gamelength,Gamelength Number,Team1Bans,Team2Bans,Team1Picks,Team2Picks,Team1Clouds,Team1Infernals,Team1Mountains,Team1Oceans,Team1Hextechs,Team1Chemtechs,Team1Elders,Team2Clouds,Team2Infernals,Team2Mountains,Team2Oceans,Team2Hextechs,Team2Chemtechs,Team2Elders,DateTime UTC__precision
2014 Season World Championship,Cloud9,Samsung Blue,Samsung Blue,Cloud9,2014-10-04 08:06:00,2014 Season World Championship_Quarterfinals_2_4,2014 Season World Championship_Quarterfinals_2,4,Game 4,1,3,2,34:07,34.116666666667,"Thresh,Zed,Ryze","Zilean,Alistar,Lucian","Rumble,Lee Sin,Talon,Corki,Braum","Maokai,Rengar,Yasuo,Twitch,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,Dark Passage,ahq eSports Club,ahq eSports Club,Dark Passage,2014-09-18 11:21:00,2014 Season World Championship_Day 1_3_1,2014 Season World Championship_Day 1_3,1,Game 1,0,1,2,40:08,40.133333333333,"Twitch,Twisted Fate,Zed","Alistar,Ryze,Zilean","Maokai,Lee Sin,Syndra,Tristana,Nami","Nidalee,Kha'Zix,Fizz,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Dark Passage,EDward Gaming,EDward Gaming,Dark Passage,2014-09-20 12:48:00,2014 Season World Championship_Day 3_5_1,2014 Season World Championship_Day 3_5,1,Game 1,0,1,2,27:07,27.116666666667,"Rengar,Orianna,Maokai","Nidalee,Alistar,Syndra","Ryze,Pantheon,Jayce,Lucian,Braum","Irelia,Kha'Zix,Zilean,Tristana,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Dark Passage,Samsung White,Samsung White,Dark Passage,2014-09-19 12:19:00,2014 Season World Championship_Day 2_4_1,2014 Season World Championship_Day 2_4,1,Game 1,0,1,2,23:28,23.466666666667,"Yasuo,Zilean,Tristana","Nidalee,Maokai,Lucian","Alistar,Kha'Zix,Orianna,Jinx,Thresh","Ryze,Lee Sin,Talon,Vayne,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,EDward Gaming,ahq eSports Club,EDward Gaming,ahq eSports Club,2014-09-19 14:19:00,2014 Season World Championship_Day 2_6_1,2014 Season World Championship_Day 2_6,1,Game 1,1,0,1,36:08,36.133333333333,"Fizz,Lee Sin,Twisted Fate","Ryze,Zilean,Alistar","Maokai,Rengar,Zed,Twitch,Thresh","Nidalee,Kha'Zix,Talon,Lucian,Blitzcrank",,,,,,,,,,,,,,,0
2014 Season World Championship,EDward Gaming,ahq eSports Club,EDward Gaming,ahq eSports Club,2014-09-21 16:00:00,2014 Season World Championship_Day 4_7_1,2014 Season World Championship_Day 4_7,1,Game 1,1,0,1,40:03,40.05,"Fizz,Twisted Fate,Thresh","Zilean,Alistar,Ryze","Maokai,Rengar,Kassadin,Lucian,Braum","Rumble,Lee Sin,Zed,Jinx,Leona",,,,,,,,,,,,,,,0
2014 Season World Championship,EDward Gaming,Dark Passage,EDward Gaming,Dark Passage,2014-09-19 10:11:00,2014 Season World Championship_Day 2_2_1,2014 Season World Championship_Day 2_2,1,Game 1,1,0,1,33:15,33.25,"Nidalee,Alistar,Syndra","Twitch,Zilean,Ryze","Maokai,Rengar,Orianna,Kog'Maw,Janna","Kha'Zix,Nunu & Willump,Xerath,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,EDward Gaming,Samsung White,Samsung White,EDward Gaming,2014-09-18 08:59:00,2014 Season World Championship_Day 1_1_1,2014 Season World Championship_Day 1_1,1,Game 1,0,1,2,43:57,43.95,"Yasuo,Kassadin,Alistar","Twitch,Ryze,Janna","Maokai,Jarvan IV,Orianna,Lucian,Thresh","Rumble,Kha'Zix,Zilean,Tristana,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,EDward Gaming,Star Horn Royal Club,EDward Gaming,Star Horn Royal Club,2014-10-05 08:01:00,2014 Season World Championship_Quarterfinals_3_4,2014 Season World Championship_Quarterfinals_3,4,Game 4,2,2,1,27:21,27.35,"Rengar,Yasuo,Janna","Maokai,Zilean,Alistar","Ryze,Kha'Zix,Orianna,Lucian,Braum","Irelia,Lee Sin,Fizz,Vayne,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,EDward Gaming,Star Horn Royal Club,Star Horn Royal Club,EDward Gaming,2014-10-05 06:00:00,2014 Season World Championship_Quarterfinals_3_2,2014 Season World Championship_Quarterfinals_3,2,Game 2,0,2,2,33:03,33.05,"Rengar,Yasuo,Fizz","Maokai,Zilean,Alistar","Ryze,Kha'Zix,Zed,Lucian,Thresh","Rumble,Lee Sin,Orianna,Twitch,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Fnatic,LMQ,LMQ,Fnatic,2014-09-25 13:43:00,2014 Season World Championship_Day 5_5_1,2014 Season World Championship_Day 5_5,1,Game 1,0,1,2,37:29,37.483333333333,"Twitch,Rengar,Maokai","Kha'Zix,Alistar,Zilean","Lulu,Jarvan IV,Xerath,Tristana,Nami","Rumble,Lee Sin,Yasuo,Kog'Maw,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Fnatic,Oh My God,Oh My God,Fnatic,2014-09-27 06:05:00,2014 Season World Championship_Day 7_1_1,2014 Season World Championship_Day 7_1,1,Game 1,0,1,2,71:34,71.566666666667,"Yasuo,Irelia,Zilean","None,Lee Sin,Alistar","Rumble,Elise,Syndra,Kog'Maw,Nami","Ryze,Kha'Zix,Zed,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Fnatic,Samsung Blue,Samsung Blue,Fnatic,2014-09-28 09:14:00,2014 Season World Championship_Day 8_4_1,2014 Season World Championship_Day 8_4,1,Game 1,0,1,2,41:25,41.416666666667,"Twitch,Yasuo,Kha'Zix","Zilean,Alistar,Lucian","Rumble,Lee Sin,Zed,Tristana,Janna","Maokai,Elise,Talon,Corki,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,KaBuM! Esports,Alliance,KaBuM! Esports,Alliance,2014-09-28 08:12:00,2014 Season World Championship_Day 8_3_1,2014 Season World Championship_Day 8_3,1,Game 1,1,0,1,38:52,38.866666666667,"Lee Sin,Maokai,Irelia","Syndra,Zilean,Alistar","Ryze,Elise,Ahri,Jinx,Morgana","Kayle,Kha'Zix,Fizz,Twitch,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,KaBuM! Esports,Cloud9,Cloud9,KaBuM! Esports,2014-09-28 05:56:00,2014 Season World Championship_Day 8_1_1,2014 Season World Championship_Day 8_1,1,Game 1,0,1,2,36:23,36.383333333333,"Zed,Maokai,Rumble","Alistar,Zilean,Lee Sin","Ryze,Elise,Syndra,Jinx,Thresh","Kayle,Kha'Zix,Xerath,Lucian,Morgana",,,,,,,,,,,,,,,0
2014 Season World Championship,KaBuM! Esports,NaJin White Shield,NaJin White Shield,KaBuM! Esports,2014-09-27 09:58:00,2014 Season World Championship_Day 7_4_1,2014 Season World Championship_Day 7_4,1,Game 1,0,1,2,35:06,35.1,"Thresh,Zed,Janna","Maokai,Alistar,Jinx","Irelia,Lee Sin,Zilean,Tristana,Morgana","Ryze,Kha'Zix,Lulu,Corki,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,LMQ,Fnatic,Fnatic,LMQ,2014-09-27 08:51:00,2014 Season World Championship_Day 7_3_1,2014 Season World Championship_Day 7_3,1,Game 1,0,1,2,37:35,37.583333333333,"Irelia,Syndra,Kha'Zix","Yasuo,Zilean,Alistar","Maokai,Jarvan IV,Fizz,Tristana,Thresh","Rumble,Lee Sin,Lissandra,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,LMQ,Oh My God,LMQ,Oh My God,2014-09-25 09:15:00,2014 Season World Championship_Day 5_1_1,2014 Season World Championship_Day 5_1,1,Game 1,1,0,1,33:36,33.6,"Lee Sin,Irelia,Ryze","Zilean,Alistar,Kha'Zix","Rumble,Jarvan IV,Syndra,Twitch,Thresh","Maokai,Elise,Yasuo,Tristana,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,LMQ,Samsung Blue,Samsung Blue,LMQ,2014-09-28 07:00:00,2014 Season World Championship_Day 8_2_1,2014 Season World Championship_Day 8_2,1,Game 1,0,1,2,47:12,47.2,"Zed,Yasuo,Lee Sin","Zilean,Thresh,Alistar","Rumble,Jarvan IV,Orianna,Kog'Maw,Nami","Maokai,Rengar,Kassadin,Twitch,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,NaJin White Shield,Alliance,NaJin White Shield,Alliance,2014-09-26 08:59:00,2014 Season World Championship_Day 6_1_1,2014 Season World Championship_Day 6_1,1,Game 1,1,0,1,45:15,45.25,"Fizz,Maokai,Ryze","Nidalee,Zed,Alistar","Riven,Lee Sin,Lulu,Tristana,Thresh","Irelia,Kha'Zix,Twisted Fate,Lucian,Zilean",,,,,,,,,,,,,,,0
2014 Season World Championship,NaJin White Shield,Cloud9,NaJin White Shield,Cloud9,2014-09-28 13:01:00,2014 Season World Championship_Day 8_7_1,2014 Season World Championship_Day 8_7,1,Game 1,1,0,1,41:20,41.333333333333,"Rumble,Syndra,Alistar","Thresh,Ryze,Maokai","Kassadin,Lee Sin,Zed,Lucian,Zilean","Nidalee,Elise,Talon,Corki,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,NaJin White Shield,Cloud9,NaJin White Shield,Cloud9,2014-09-26 11:29:00,2014 Season World Championship_Day 6_3_1,2014 Season World Championship_Day 6_3,1,Game 1,1,0,1,29:47,29.783333333333,"None,Maokai,Syndra","Alistar,Zilean,Lee Sin","Ryze,Elise,Zed,Corki,Thresh","Lulu,Kha'Zix,Talon,Tristana,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,NaJin White Shield,KaBuM! Esports,NaJin White Shield,KaBuM! Esports,2014-09-25 10:20:00,2014 Season World Championship_Day 5_2_1,2014 Season World Championship_Day 5_2,1,Game 1,1,0,1,26:45,26.75,"Jinx,Maokai,Zilean","Alistar,Lee Sin,Twitch","Ryze,Kha'Zix,Zed,Corki,Thresh","Kayle,Elise,Ahri,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,NaJin White Shield,Oh My God,Oh My God,NaJin White Shield,2014-10-06 08:01:00,2014 Season World Championship_Quarterfinals_4_1,2014 Season World Championship_Quarterfinals_4,1,Game 1,0,1,2,44:18,44.3,"Maokai,Jayce,Ryze","Zilean,Thresh,Alistar","Kassadin,Kha'Zix,Zed,Corki,Morgana","Irelia,Lee Sin,Ahri,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,NaJin White Shield,Oh My God,Oh My God,NaJin White Shield,2014-10-06 10:25:00,2014 Season World Championship_Quarterfinals_4_3,2014 Season World Championship_Quarterfinals_4,3,Game 3,0,3,2,40:56,40.933333333333,"Irelia,Lucian,Jayce","Zilean,Alistar,Thresh","Maokai,Lee Sin,Orianna,Kog'Maw,Nami","Ryze,Kha'Zix,Zed,Corki,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Oh My God,Fnatic,Oh My God,Fnatic,2014-09-26 12:34:00,2014 Season World Championship_Day 6_4_1,2014 Season World Championship_Day 6_4,1,Game 1,1,0,1,37:47,37.783333333333,"Rumble,Alistar,Gragas","Ryze,Lee Sin,Maokai","Irelia,Evelynn,Zilean,Kog'Maw,Nami","Lulu,Kha'Zix,Kassadin,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Oh My God,LMQ,Oh My God,LMQ,2014-09-28 11:56:00,2014 Season World Championship_Day 8_6_1,2014 Season World Championship_Day 8_6,1,Game 1,1,0,1,37:22,37.366666666667,"Twitch,Jarvan IV,Rumble","Zilean,Ryze,Alistar","Maokai,Kha'Zix,Orianna,Lucian,Janna","Lulu,Lee Sin,Xerath,Kog'Maw,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Oh My God,NaJin White Shield,Oh My God,NaJin White Shield,2014-10-06 09:14:00,2014 Season World Championship_Quarterfinals_4_2,2014 Season World Championship_Quarterfinals_4,2,Game 2,2,0,1,47:10,47.166666666667,"Alistar,Lulu,Thresh","Zilean,Irelia,Lee Sin","Ryze,Rengar,Jayce,Lucian,Janna","Nidalee,Kha'Zix,Zed,Corki,Braum",,,,,,,,,,,,,,,0
2014 Season World Championship,Oh My God,Samsung Blue,Samsung Blue,Oh My God,2014-09-27 11:05:00,2014 Season World Championship_Day 7_5_1,2014 Season World Championship_Day 7_5,1,Game 1,0,1,2,27:51,27.85,"Alistar,Thresh,Ryze","Zilean,Maokai,Zed","Irelia,Lee Sin,Yasuo,Tristana,Nami","Kayle,Kha'Zix,Orianna,Twitch,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Oh My God,Star Horn Royal Club,Oh My God,Star Horn Royal Club,2014-10-12 11:18:00,2014 Season World Championship_Semifinals_2_4,2014 Season World Championship_Semifinals_2,4,Game 4,2,2,1,35:48,35.8,"Rengar,Janna,Twitch","Alistar,Ryze,Jayce","Maokai,Lee Sin,Twisted Fate,Corki,Thresh","Dr. Mundo,Kha'Zix,Zilean,Lucian,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,Oh My God,Star Horn Royal Club,Star Horn Royal Club,Oh My God,2014-10-12 09:00:00,2014 Season World Championship_Semifinals_2_2,2014 Season World Championship_Semifinals_2,2,Game 2,1,1,2,46:24,46.4,"Rengar,Janna,Maokai","Alistar,Ryze,Zilean","Rumble,Lee Sin,Jayce,Corki,Morgana","Dr. Mundo,Kha'Zix,Lulu,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,Cloud9,Cloud9,Samsung Blue,2014-10-04 04:57:00,2014 Season World Championship_Quarterfinals_2_1,2014 Season World Championship_Quarterfinals_2,1,Game 1,0,1,2,33:12,33.2,"Zed,Alistar,Maokai","Yasuo,Lee Sin,Zilean","Nidalee,Elise,Jayce,Tristana,Thresh","Ryze,Kha'Zix,Syndra,Lucian,Morgana",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,Cloud9,Samsung Blue,Cloud9,2014-10-04 07:08:00,2014 Season World Championship_Quarterfinals_2_3,2014 Season World Championship_Quarterfinals_2,3,Game 3,2,1,1,31:37,31.616666666667,"Lucian,Alistar,Thresh","Yasuo,Zed,Zilean","Maokai,Lee Sin,Jayce,Corki,Braum","Rumble,Kha'Zix,Syndra,Graves,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,Fnatic,Fnatic,Samsung Blue,2014-09-26 10:17:00,2014 Season World Championship_Day 6_2_1,2014 Season World Championship_Day 6_2,1,Game 1,0,1,2,42:29,42.483333333333,"Zilean,Alistar,Maokai","Twitch,Lee Sin,Kha'Zix","Lulu,Jarvan IV,Zed,Kog'Maw,Nami","Irelia,Elise,Ahri,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,LMQ,Samsung Blue,LMQ,2014-09-26 14:48:00,2014 Season World Championship_Day 6_6_1,2014 Season World Championship_Day 6_6,1,Game 1,1,0,1,29:38,29.633333333333,"Alistar,Zilean,Nami","Lee Sin,Ryze,Kog'Maw","Maokai,Jarvan IV,Yasuo,Corki,Thresh","Rumble,Kha'Zix,Fizz,Tristana,Braum",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,Oh My God,Samsung Blue,Oh My God,2014-09-25 11:16:00,2014 Season World Championship_Day 5_3_1,2014 Season World Championship_Day 5_3,1,Game 1,1,0,1,34:15,34.25,"Zilean,Alistar,Ryze","Zed,Maokai,Twisted Fate","Rumble,Lee Sin,Yasuo,Kog'Maw,Nami","Kayle,Kha'Zix,Ahri,Tristana,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,Samsung White,Samsung White,Samsung Blue,2014-10-11 08:09:00,2014 Season World Championship_Semifinals_1_1,2014 Season World Championship_Semifinals_1,1,Game 1,0,1,2,28:49,28.816666666667,"Tristana,Alistar,Ryze","Rumble,Maokai,Thresh","Kayle,Lee Sin,Yasuo,Varus,Zilean","Akali,Rengar,Jayce,Twitch,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung Blue,Samsung White,Samsung White,Samsung Blue,2014-10-11 09:55:00,2014 Season World Championship_Semifinals_1_3,2014 Season World Championship_Semifinals_1,3,Game 3,0,3,2,22:32,22.533333333333,"Zilean,Alistar,Jayce","Rumble,Maokai,Thresh","Ryze,Rengar,Twisted Fate,Lucian,Sona","Kassadin,Lee Sin,Fizz,Twitch,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,ahq eSports Club,Samsung White,ahq eSports Club,2014-09-18 14:02:00,2014 Season World Championship_Day 1_5_1,2014 Season World Championship_Day 1_5,1,Game 1,1,0,1,22:31,22.516666666667,"Fizz,Lucian,Zed","Alistar,Ryze,Zilean","Maokai,Lee Sin,Yasuo,Twitch,Thresh","Nidalee,Kha'Zix,Twisted Fate,Jinx,Blitzcrank",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,Dark Passage,Samsung White,Dark Passage,2014-09-20 09:00:00,2014 Season World Championship_Day 3_1_1,2014 Season World Championship_Day 3_1,1,Game 1,1,0,1,21:08,21.133333333333,"Nidalee,Lucian,Thresh","Tristana,Yasuo,Zilean","Alistar,Kha'Zix,Zed,Corki,Janna","Ryze,Lee Sin,Fizz,Ezreal,Braum",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,EDward Gaming,Samsung White,EDward Gaming,2014-09-21 14:49:00,2014 Season World Championship_Day 4_6_1,2014 Season World Championship_Day 4_6,1,Game 1,1,0,1,33:33,33.55,"Zilean,Rengar,Thresh","Yasuo,Kassadin,Alistar","Maokai,Jarvan IV,Fizz,Twitch,Janna","Ryze,Kha'Zix,Ziggs,Kog'Maw,Nami",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,Samsung Blue,Samsung White,Samsung Blue,2014-10-11 09:07:00,2014 Season World Championship_Semifinals_1_2,2014 Season World Championship_Semifinals_1,2,Game 2,2,0,1,32:33,32.55,"Thresh,Rumble,Twitch","Zilean,Alistar,Tristana","Maokai,Rengar,Jayce,Corki,Morgana","Galio,Kha'Zix,Ryze,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,Star Horn Royal Club,Samsung White,Star Horn Royal Club,2014-10-19 07:46:00,2014 Season World Championship_Finals_1_2,2014 Season World Championship_Finals_1,2,Game 2,2,0,1,29:16,29.266666666667,"Lucian,Lee Sin,Maokai","Alistar,Zilean,Ryze","Rumble,Rengar,Talon,Twitch,Janna","Dr. Mundo,Kha'Zix,Jayce,Corki,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,Star Horn Royal Club,Samsung White,Star Horn Royal Club,2014-10-19 09:44:00,2014 Season World Championship_Finals_1_4,2014 Season World Championship_Finals_1,4,Game 4,3,1,1,22:59,22.983333333333,"Lucian,Lee Sin,Maokai","Alistar,Jayce,Zilean","Kassadin,Rengar,Orianna,Corki,Janna","Ryze,Pantheon,Lulu,Tristana,Braum",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,TSM,Samsung White,TSM,2014-10-03 08:00:00,2014 Season World Championship_Quarterfinals_1_1,2014 Season World Championship_Quarterfinals_1,1,Game 1,1,0,1,27:05,27.083333333333,"Orianna,Lee Sin,Rumble","Alistar,Zilean,Maokai","Ryze,Elise,Jayce,Twitch,Thresh","Lulu,Kha'Zix,Zed,Lucian,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Samsung White,TSM,TSM,Samsung White,2014-10-03 09:46:00,2014 Season World Championship_Quarterfinals_1_3,2014 Season World Championship_Quarterfinals_1,3,Game 3,2,1,2,27:28,27.466666666667,"Orianna,Lee Sin,Rumble","Alistar,Zilean,Maokai","Dr. Mundo,Kha'Zix,Kassadin,Tristana,Morgana","Ryze,Jarvan IV,Yasuo,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,SK Gaming,Star Horn Royal Club,Star Horn Royal Club,SK Gaming,2014-09-20 09:51:00,2014 Season World Championship_Day 3_2_1,2014 Season World Championship_Day 3_2,1,Game 1,0,1,2,33:45,33.75,"Zilean,Lucian,Ryze","Aatrox,Nidalee,Alistar","Maokai,Lee Sin,Ahri,Kog'Maw,Kayle","Irelia,Rengar,Orianna,Vayne,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,SK Gaming,Taipei Assassins,SK Gaming,Taipei Assassins,2014-09-20 13:44:00,2014 Season World Championship_Day 3_6_1,2014 Season World Championship_Day 3_6,1,Game 1,1,0,1,50:01,50.016666666667,"Zilean,Nami,Syndra","Nidalee,Aatrox,Ahri","Alistar,Kha'Zix,Orianna,Lucian,Morgana","Ryze,Lee Sin,Yasuo,Ezreal,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,SK Gaming,TSM,SK Gaming,TSM,2014-09-21 13:47:00,2014 Season World Championship_Day 4_5_1,2014 Season World Championship_Day 4_5,1,Game 1,1,0,1,50:36,50.6,"Zed,Tristana,Ryze","Alistar,Nidalee,Aatrox","Swain,Kha'Zix,Ziggs,Vayne,Morgana","Maokai,Lee Sin,Syndra,Kog'Maw,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Star Horn Royal Club,EDward Gaming,EDward Gaming,Star Horn Royal Club,2014-10-05 06:57:00,2014 Season World Championship_Quarterfinals_3_3,2014 Season World Championship_Quarterfinals_3,3,Game 3,2,1,2,38:35,38.583333333333,"Maokai,Alistar,Kha'Zix","Rengar,Zilean,Janna","Rumble,Lee Sin,Orianna,Twitch,Nami","Ryze,Evelynn,Syndra,Lucian,Thresh",,,,,,,,,,,,,,,0
2014 Season World Championship,Star Horn Royal Club,EDward Gaming,Star Horn Royal Club,EDward Gaming,2014-10-05 04:59:00,2014 Season World Championship_Quarterfinals_3_1,2014 Season World Championship_Quarterfinals_3,1,Game 1,1,0,1,34:00,34,"Maokai,Alistar,Rumble","Rengar,Zilean,Fizz","Ryze,Kha'Zix,Lulu,Lucian,Nami","Kayle,Lee Sin,Orianna,Tristana,Janna",,,,,,,,,,,,,,,0
2014 Season World Championship,Star Horn Royal Club,EDward Gaming,Star Horn Royal Club,EDward Gaming,2014-10-05 08:50:00,2014 Season World Championship_Quarterfinals_3_5,2014 Season World Championship_Quarterfinals_3,5,Game 5,3,2,1,41:15,41.25,"Maokai,Alistar,Lucian","Rengar,Zilean,Fizz","Ryze,Jarvan IV,Orianna,Tristana,Janna","Rumble,Kha'Zix,Syndra,Twitch,Thresh",,,,,,,,,,,,,,,0
